En01;216088;1;BA10a;Profession principale;PCLCA;MENUISIER;MENUISIER;RC*;632D - Menuisiers qualifiés du bâtiment;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;1;BA22b;Nom de l'employeur;NOMSOC;EQUIPEMENT;TRAVAUX PUBLIC;-;-;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;1;BA29;Nom de l'employeur;EMPL;EQUIPEMENT;-;-;-;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;1;BA32a;Activité économique de l'établissement employeur;ACTIVA;TRAVAUX PUBLIC;TRAVAUX PUBLIC;CCS;NULL;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;1;BB3;Echelle / échelon / niveau / indice;GRADEC;CATEGORIE D;-;-;-;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;1;D20;Diplôme le plus élevé;DIPINTA;CAP;CAP;NULL;5000234s;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;1;D21;Spécialité du diplôme;DIPSCDA;MENUISERIE;MENUISERIE;-;0732;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;1;E12a;Activité principale année précédente;EACTIV;TRAVAUX PUBLIC;NULL;NULL;NULL;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;2;C6a;Profession antérieure;APCLCA;ARTISANE;ARTISANE;RC*;214F;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;2;C8;Activité principale employeur;AACTIV;ARTISANAT;ARTISANAT;CCS;9411Z - Activités des organisations patronales et consulaires;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;2;D20;Diplôme le plus élevé;DIPINTA;DNB;DNB;NULL;6400100a;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;2;D21;Spécialité du diplôme;DIPSCDA;FORMATION GENERALE;FORMATION GENERALE;-;0011;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216088;2;G5a;Profession du père;FPCLCA;ENTREPRNEUR;ENTREPRNEUR;RC*;214F;47;Gestionnaire 01;03;0;Enquêteur 01
En01;216104;1;C6a;Profession antérieure;APCLCA;MATELOT;MATELOT;RC*;532B - Sergents et sous-officiers de grade équivalent des Armées (sauf pompiers militaires)*;19;Gestionnaire 01;03;0;Enquêteur 01
En01;216104;1;C8;Activité principale employeur;AACTIV;TRANSPORT MARITIME;TRANSPORT MARITIME;CCS;NULL;19;Gestionnaire 01;03;0;Enquêteur 01
En01;216104;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;CM2;CM2;CCS;79991;19;Gestionnaire 01;03;0;Enquêteur 01
En01;216104;2;C6a;Profession antérieure;APCLCA;TECHNICIENNE DE SURFACE;TECHNICIENNE DE SURFACE;RC*;684A - Nettoyeurs;19;Gestionnaire 01;03;0;Enquêteur 01
En01;216104;2;C8;Activité principale employeur;AACTIV;COMMERCE;COMMERCE;CCS;4711F - Hypermarchés;19;Gestionnaire 01;03;0;Enquêteur 01
En01;216104;2;D38;Année d'études atteinte et diplôme préparé;NIVINTA;CM2;CM2;CCS;79991;19;Gestionnaire 01;03;0;Enquêteur 01
