Year;Site;Habitat;siteID;Taxonomy;Family;value
2006;1;Récif intérieur;1_BA;Abudefduf septemfasciatus;Pomacentridae;105,1
2006;1;Récif intérieur;1_BA;Abudefduf sexfasciatus;Pomacentridae;579,76
2006;1;Récif intérieur;1_BA;Acanthurus nigricans;Acanthuridae;57,38
2006;1;Récif intérieur;1_BA;Acanthurus nigrofuscus;Acanthuridae;1865,44
2006;1;Récif intérieur;1_BA;Acanthurus triostegus;Acanthuridae;11689,77
2006;1;Récif intérieur;1_BA;Anampses twistii;Labridae;14
2006;1;Récif intérieur;1_BA;Arothron meleagris;Tetraodontidae;399,9
2006;1;Récif intérieur;1_BA;Balistapus undulatus;Balistidae;19,5
2006;1;Récif intérieur;1_BA;Cantherhines dumerilii;Monacanthidae;25,1
2006;1;Récif intérieur;1_BA;Canthigaster solandri;Tetraodontidae;9,85
2006;1;Récif intérieur;1_BA;Caracanthus maculatus;Caracanthidae;18,33
2006;1;Récif intérieur;1_BA;Carcharhinus melanopterus;Carcharhinidae;4996,7
2006;1;Récif intérieur;1_BA;Centropyge bispinosa;Pomacanthidae;35,69
2006;1;Récif intérieur;1_BA;Centropyge flavissima;Pomacanthidae;266,19
2006;1;Récif intérieur;1_BA;Cephalopholis argus;Serranidae;199,6
2006;1;Récif intérieur;1_BA;Chaetodon citrinellus;Chaetodontidae;450,86
2006;1;Récif intérieur;1_BA;Chaetodon ornatissimus;Chaetodontidae;204,71
2006;1;Récif intérieur;1_BA;Chaetodon reticulatus;Chaetodontidae;323,2
2006;1;Récif intérieur;1_BA;Chaetodon trichrous;Chaetodontidae;98
2006;1;Récif intérieur;1_BA;Chaetodon unimaculatus;Chaetodontidae;122,02
2006;1;Récif intérieur;1_BA;Cheilinus chlorourus;Labridae;56,25
2006;1;Récif intérieur;1_BA;Cheilinus trilobatus;Labridae;202,2
2006;1;Récif intérieur;1_BA;Cheilio inermis;Labridae;124,9
2006;1;Récif intérieur;1_BA;Chlorurus spilurus;Scaridae;2569,05
2006;1;Récif intérieur;1_BA;Chromis iomelas;Pomacentridae;1,55
2006;1;Récif intérieur;1_BA;Chromis margaritifer;Pomacentridae;7,91
2006;1;Récif intérieur;1_BA;Chromis viridis;Pomacentridae;3,88
2006;1;Récif intérieur;1_BA;Chrysiptera brownriggii;Pomacentridae;24,29
2006;1;Récif intérieur;1_BA;Coris aygula;Labridae;67,1
2006;1;Récif intérieur;1_BA;Ctenochaetus binotatus;Acanthuridae;116,5
2006;1;Récif intérieur;1_BA;Ctenochaetus striatus;Acanthuridae;10742,64
2006;1;Récif intérieur;1_BA;Dascyllus flavicaudus;Pomacentridae;47,35
2006;1;Récif intérieur;1_BA;Diodon hystrix;Diodontidae;552,3
2006;1;Récif intérieur;1_BA;Epinephelus merra;Serranidae;111,8
2006;1;Récif intérieur;1_BA;Fistularia commersonii;Fistulariidae;341,8
2006;1;Récif intérieur;1_BA;Forcipiger flavissimus;Chaetodontidae;116,5
2006;1;Récif intérieur;1_BA;Forcipiger longirostris;Chaetodontidae;29,6
2006;1;Récif intérieur;1_BA;Gnathodentex aureolineatus;Lethrinidae;141,8
2006;1;Récif intérieur;1_BA;Gnatholepis anjerensis;Gobiidae;20,97
2006;1;Récif intérieur;1_BA;Gomphosus varius;Labridae;20,1
2006;1;Récif intérieur;1_BA;Halichoeres claudia;Labridae;8,58
2006;1;Récif intérieur;1_BA;Halichoeres hortulanus;Labridae;396,51
2006;1;Récif intérieur;1_BA;Halichoeres margaritaceus;Labridae;16,88
2006;1;Récif intérieur;1_BA;Halichoeres trimaculatus;Labridae;9,01
2006;1;Récif intérieur;1_BA;Heniochus chrysostomus;Chaetodontidae;40,2
2006;1;Récif intérieur;1_BA;Melichthys vidua;Balistidae;500,5
2006;1;Récif intérieur;1_BA;Monotaxis grandoculis;Lethrinidae;51,4
2006;1;Récif intérieur;1_BA;Mulloidichthys flavolineatus;Mullidae;17,7
2006;1;Récif intérieur;1_BA;Mulloidichthys vanicolensis;Mullidae;75,6
2006;1;Récif intérieur;1_BA;Naso annulatus;Acanthuridae;318,4
2006;1;Récif intérieur;1_BA;Naso lituratus;Acanthuridae;404,21
2006;1;Récif intérieur;1_BA;Neocirrhites armatus;Cirrhitidae;9,08
2006;1;Récif intérieur;1_BA;Paracirrhites arcatus;Cirrhitidae;70,29
2006;1;Récif intérieur;1_BA;Parapercis millepunctata;Pinguipedidae;4,08
2006;1;Récif intérieur;1_BA;Parupeneus cyclostomus;Mullidae;32,7
2006;1;Récif intérieur;1_BA;Parupeneus multifasciatus;Mullidae;720
2006;1;Récif intérieur;1_BA;Parupeneus pleurostigma;Mullidae;201,4
2006;1;Récif intérieur;1_BA;Plectroglyphidodon dickii;Pomacentridae;0,78
2006;1;Récif intérieur;1_BA;Plectroglyphidodon johnstonianus;Pomacentridae;6,87
2006;1;Récif intérieur;1_BA;Pseudocheilinus hexataenia;Labridae;6,91
2006;1;Récif intérieur;1_BA;Pseudojuloides atavai;Labridae;0,55
2006;1;Récif intérieur;1_BA;Pygoplites diacanthus;Pomacanthidae;276,5
2006;1;Récif intérieur;1_BA;Sargocentron microstoma;Holocentridae;113,3
2006;1;Récif intérieur;1_BA;Sargocentron tiere;Holocentridae;1,55
2006;1;Récif intérieur;1_BA;Scaridae unidentified 2;Perciformes;20,8
2006;1;Récif intérieur;1_BA;Scaridae unidentified 4;Perciformes;138,5
2006;1;Récif intérieur;1_BA;Scarus oviceps;Scaridae;85,3
2006;1;Récif intérieur;1_BA;Scarus psittacus;Scaridae;770,85
2006;1;Récif intérieur;1_BA;Siganus argenteus;Siganidae;25,4
2006;1;Récif intérieur;1_BA;Siganus spinus;Siganidae;370,8
2006;1;Récif intérieur;1_BA;Stegastes nigricans;Pomacentridae;842,21
2006;1;Récif intérieur;1_BA;Stegastes punctatus;Pomacentridae;73,78
2006;1;Récif intérieur;1_BA;Stethojulis bandanensis;Labridae;25,05
2006;1;Récif intérieur;1_BA;Thalassoma hardwicke;Labridae;591,3
2006;1;Récif intérieur;1_BA;Thalassoma quinquevittatum;Labridae;54
2006;1;Récif intérieur;1_BA;Zanclus cornutus;Zanclidae;496,3
2006;1;Récif intérieur;1_BA;Zebrasoma scopas;Acanthuridae;2552,12
2006;1;Pente externe;1_FO;Acanthurus achilles;Acanthuridae;10,98
2006;1;Pente externe;1_FO;Acanthurus nigricans;Acanthuridae;1279,06
2006;1;Pente externe;1_FO;Acanthurus nigricauda;Acanthuridae;425,6
2006;1;Pente externe;1_FO;Acanthurus nigrofuscus;Acanthuridae;1708,8
2006;1;Pente externe;1_FO;Acanthurus olivaceus;Acanthuridae;481,3
2006;1;Pente externe;1_FO;Acanthurus pyroferus;Acanthuridae;904,15
2006;1;Pente externe;1_FO;Acanthurus thompsoni;Acanthuridae;1563,5
2006;1;Pente externe;1_FO;Amanses scopas;Monacanthidae;12,8
2006;1;Pente externe;1_FO;Anampses twistii;Labridae;13,82
2006;1;Pente externe;1_FO;Aulostomus chinensis;Aulostomidae;437,4
2006;1;Pente externe;1_FO;Balistapus undulatus;Balistidae;930,42
