Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5511","Production","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","420.11","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5511","Production","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","342.35","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5611","Importations - Quantité","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","149.42","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5611","Importations - Quantité","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","166.44","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5072","Variation de stock","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5072","Variation de stock","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5911","Exportations - Quantité","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","388.47","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5911","Exportations - Quantité","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","317.68","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5301","Disponibilité intérieure","2763","Poissons Pelagiques","2016","2016","Milliers de tonnes","181.06","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5301","Disponibilité intérieure","2763","Poissons Pelagiques","2017","2017","Milliers de tonnes","191.12","Im","Données de la FAO basées sur une méthodologie d'imputation"
