date,Region,PaysDiff,Touristes
2006-01-01,"","",108
2006-02-01,"","",56
2006-03-01,"","",47
2006-04-01,"","",46
2006-05-01,"","",54
2006-06-01,"","",24
2006-07-01,"","",21
2006-08-01,"","",41
2006-09-01,"","",21
2006-10-01,"","",34
2006-11-01,"","",58
2006-12-01,"","",60
2006-01-01,Afrique,Afrique,20
2006-02-01,Afrique,Afrique,11
2006-03-01,Afrique,Afrique,13
2006-04-01,Afrique,Afrique,36
2006-05-01,Afrique,Afrique,20
2006-06-01,Afrique,Afrique,40
2006-07-01,Afrique,Afrique,13
2006-08-01,Afrique,Afrique,17
2006-09-01,Afrique,Afrique,31
2006-10-01,Afrique,Afrique,15
2006-11-01,Afrique,Afrique,9
2006-12-01,Afrique,Afrique,27
2007-01-01,Afrique,Afrique,44
2007-02-01,Afrique,Afrique,11
2007-03-01,Afrique,Afrique,42
2007-04-01,Afrique,Afrique,30
2007-05-01,Afrique,Afrique,23
2007-06-01,Afrique,Afrique,29
2007-07-01,Afrique,Afrique,106
2007-08-01,Afrique,Afrique,121
2007-09-01,Afrique,Afrique,115
2007-10-01,Afrique,Afrique,85
2007-11-01,Afrique,Afrique,74
2007-12-01,Afrique,Afrique,84
2008-01-01,Afrique,Afrique,19
2008-02-01,Afrique,Afrique,27
2008-03-01,Afrique,Afrique,24
2008-04-01,Afrique,Afrique,32
2008-05-01,Afrique,Afrique,45
2008-06-01,Afrique,Afrique,34
2008-07-01,Afrique,Afrique,37
2008-08-01,Afrique,Afrique,20
2008-09-01,Afrique,Afrique,29
2008-10-01,Afrique,Afrique,26
2008-11-01,Afrique,Afrique,22
2008-12-01,Afrique,Afrique,23
2009-01-01,Afrique,Afrique,21
2009-02-01,Afrique,Afrique,22
2009-03-01,Afrique,Afrique,20
2009-04-01,Afrique,Afrique,35
2009-05-01,Afrique,Afrique,29
2009-06-01,Afrique,Afrique,29
2009-07-01,Afrique,Afrique,27
2009-08-01,Afrique,Afrique,19
2009-09-01,Afrique,Afrique,16
2009-10-01,Afrique,Afrique,27
2009-11-01,Afrique,Afrique,15
2009-12-01,Afrique,Afrique,18
2010-01-01,Afrique,Afrique,11
2010-02-01,Afrique,Afrique,16
2010-03-01,Afrique,Afrique,13
2010-04-01,Afrique,Afrique,13
2010-05-01,Afrique,Afrique,24
2010-06-01,Afrique,Afrique,28
2010-07-01,Afrique,Afrique,34
2010-08-01,Afrique,Afrique,19
2010-09-01,Afrique,Afrique,27
2010-10-01,Afrique,Afrique,35
2010-11-01,Afrique,Afrique,24
2010-12-01,Afrique,Afrique,31
2011-01-01,Afrique,Afrique,26
2011-02-01,Afrique,Afrique,10
2011-03-01,Afrique,Afrique,16
2011-04-01,Afrique,Afrique,28
2011-05-01,Afrique,Afrique,11
2011-06-01,Afrique,Afrique,18
2011-07-01,Afrique,Afrique,39
2011-08-01,Afrique,Afrique,29
2011-09-01,Afrique,Afrique,16
2011-10-01,Afrique,Afrique,20
2011-11-01,Afrique,Afrique,22
2011-12-01,Afrique,Afrique,37
2012-01-01,Afrique,Afrique,10
2012-02-01,Afrique,Afrique,21
